priority,city,title,address,contact_method,contact_url,contact_name,rent,net_spread_after_ops,verdict,listing_url,send_note,turbotenant_or_web_message,email_subject,email_body,sms,call_opener
1,"Scottsdale, AZ",Stylish and spacious 3BR/2BA townhome near Old Town Scottsdale,"4133 N 78th Way, Scottsdale",turbotenant,https://rental.turbotenant.com/p/4133-n-78th-way-scottsdale-az/92149beb-c5ea-4c61-bd27-99762188726b?source=craigslist,,3250,4634,take,https://www.craigslist.org/view/d/scottsdale-stylish-and-spacious-3br-2ba/ihl8njh_8RGOCr3M6rCRQw,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 4133 N 78th Way, Scottsdale. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 4133 N 78th Way, Scottsdale — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 4133 N 78th Way, Scottsdale.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 4133 N 78th Way, Scottsdale. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 4133 N 78th Way, Scottsdale. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
2,"Saint Petersburg, FL",Furnished 3 BEDROOMS 2.5 BATH with a garage townhouse! Welcome home,"608 Black Lion Dr NE, Saint Petersburg",turbotenant,https://rental.turbotenant.com/p/608-black-lion-dr-ne-saint-petersburg-fl/e3578027-ff77-4259-ba3e-65438d7d4e80?source=craigslist,,2950,1185,negotiate,https://www.craigslist.org/view/d/saint-petersburg-furnished-bedrooms-25/CATZJ-6O8RGDm7QrAimHNQ,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 608 Black Lion Dr NE, Saint Petersburg. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 608 Black Lion Dr NE, Saint Petersburg — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 608 Black Lion Dr NE, Saint Petersburg.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 608 Black Lion Dr NE, Saint Petersburg. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 608 Black Lion Dr NE, Saint Petersburg. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
3,"Phoenix, AZ",Smart & Modern Townhome,"3944 E Earll Dr Unit 2, Phoenix",turbotenant,https://rental.turbotenant.com/p/3944-e-earll-dr-phoenix-az-unit-2/be1ff78a-8bad-4d61-bc99-5fdd135b6d7c?source=craigslist,,2250,574,pass,https://www.craigslist.org/view/d/phoenix-smart-modern-townhome/7AdJsruO8RGdOZI0fAUsWQ,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 3944 E Earll Dr Unit 2, Phoenix. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 3944 E Earll Dr Unit 2, Phoenix — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 3944 E Earll Dr Unit 2, Phoenix.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 3944 E Earll Dr Unit 2, Phoenix. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 3944 E Earll Dr Unit 2, Phoenix. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
4,"Tempe, AZ",Comfortable Family House / Centrally Located,"Guadalupe Rd. near Avenida Del Yaqui, Tempe",message_only,,,2450,153,pass,https://www.craigslist.org/view/d/tempe-comfortable-family-house/sMDg9Z3RRZhz9ujR2SG6rn,Listing does not expose direct phone/email; use the on-page message/contact workflow manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in Guadalupe Rd. near Avenida Del Yaqui, Tempe. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on Guadalupe Rd. near Avenida Del Yaqui, Tempe — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at Guadalupe Rd. near Avenida Del Yaqui, Tempe.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about Guadalupe Rd. near Avenida Del Yaqui, Tempe. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about Guadalupe Rd. near Avenida Del Yaqui, Tempe. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
5,"Tempe, AZ",I would live here. Great Tempe location,"280 S Evergreen Rd Unit 1262, Tempe",turbotenant,https://rental.turbotenant.com/p/280-s-evergreen-rd-tempe-az-unit-1262/8e3db419-037d-4454-bb44-6ca48f33db90?source=craigslist,,2900,-297,pass,https://www.craigslist.org/view/d/tempe-would-live-here-great-tempe/0jw5ejOU8RGFypc66B7Oew,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 280 S Evergreen Rd Unit 1262, Tempe. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 280 S Evergreen Rd Unit 1262, Tempe — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 280 S Evergreen Rd Unit 1262, Tempe.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 280 S Evergreen Rd Unit 1262, Tempe. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 280 S Evergreen Rd Unit 1262, Tempe. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
6,"Jacksonville, FL",Furnished Pet friendly home in Historic Springfield near TIAA,"105 W 11th St, Jacksonville",turbotenant,https://rental.turbotenant.com/p/105-w-11th-st-jacksonville-fl/9aff364d-9060-443d-ab35-7f19be3447ed?source=craigslist,,2300,-567,pass,https://www.craigslist.org/view/d/jacksonville-furnished-pet-friendly/_mymv-CR8RG8vMvqV5EvKg,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 105 W 11th St, Jacksonville. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 105 W 11th St, Jacksonville — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 105 W 11th St, Jacksonville.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 105 W 11th St, Jacksonville. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 105 W 11th St, Jacksonville. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
7,"Memphis, TN","Beautiful 6 Bed/4 Bath Single Family Home in Memphis, TN","909 S McLean Blvd, Memphis",turbotenant,https://rental.turbotenant.com/p/909-s-mclean-blvd-memphis-tn/48abad78-ad89-4ea5-afdf-7f3472fefa05?source=craigslist,,3200,-971,pass,https://www.craigslist.org/view/d/memphis-beautiful-bed-bath-single/gAKZjguO8RGx9JI1q7rbYg,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 909 S McLean Blvd, Memphis. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 909 S McLean Blvd, Memphis — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 909 S McLean Blvd, Memphis.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 909 S McLean Blvd, Memphis. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 909 S McLean Blvd, Memphis. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
8,"Portland, OR",Beautiful Short-Term Rental Home in Prime SW Location!,"6331 SW Wilbard St, Portland",website,https://www.pilot-properties.com,Pilot Property Management LLC,3500,-1138,pass,https://www.craigslist.org/view/d/portland-beautiful-short-term-rental/xzvFpzntAXPghuKfLwGbuf,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 6331 SW Wilbard St, Portland. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 6331 SW Wilbard St, Portland — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 6331 SW Wilbard St, Portland.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 6331 SW Wilbard St, Portland. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 6331 SW Wilbard St, Portland. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
9,"Jacksonville, FL",Modern Townhouse in DTJAX,"509 N Market St, Jacksonville",turbotenant,https://rental.turbotenant.com/p/509-n-market-st-jacksonville-fl/60189c4d-8e3d-4f82-a8d5-fce0cd6f63bc?source=craigslist,,2850,-1259,pass,https://www.craigslist.org/view/d/jacksonville-beach-modern-townhouse-in/8BDUXUKN8RG-Nsu_wgwRtQ,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 509 N Market St, Jacksonville. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 509 N Market St, Jacksonville — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 509 N Market St, Jacksonville.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 509 N Market St, Jacksonville. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 509 N Market St, Jacksonville. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
10,"Memphis, TN",Downtown Executive Home,"1018 Harbor Bend Cir, Memphis",turbotenant,https://rental.turbotenant.com/p/1018-harbor-bend-cir-memphis-tn/fd6f2f83-662d-40dd-af1b-246a670b28c3?source=craigslist,,3400,-1302,pass,https://www.craigslist.org/view/d/memphis-downtown-executive-home/VvlaTz2U8RGtUIz0orFqAA,Use the linked contact route manually.,"Hi, my name is Solomon with R&L Collective Holdings. I'm an out-of-state investor interested in 1018 Harbor Bend Cir, Memphis. We operate professionally managed furnished stays for traveling professionals and families and are looking for a long-term master lease, assuming subleasing/STR use is permitted. We keep properties in hotel-grade condition, handle cleaning and guest screening, carry coverage, and prioritize reliable automatic rent with minimal owner friction. If you're open to that structure, I'd love to schedule a quick call. Happy to do a 3-way call with my business partner as well.","Inquiry on 1018 Harbor Bend Cir, Memphis — long-term corporate lease option","Hi,

My name is Solomon and I’m reaching out on behalf of R&L Collective Holdings. I’m an out-of-state investor interested in your property at 1018 Harbor Bend Cir, Memphis.

We operate professionally managed furnished stays for traveling professionals and families, and we’re looking for a long-term master lease where subleasing/short-term rental use is allowed. Our model is built around consistent on-time rent, professional cleaning, guest screening, strong communication, and keeping the home in excellent condition.

If that structure is something you’d consider, I’d love to set up a quick call to discuss terms and see whether it’s a fit. I’m also happy to do a 3-way call with my business partner if that’s easier.

Best,
Solomon
R&L Collective
708-600-5714
solomon@rl-collective-holdings.com","Hi, this is Solomon with R&L Collective. I'm an out-of-state investor calling about 1018 Harbor Bend Cir, Memphis. We lease homes for professionally managed furnished stays for traveling professionals and families. We pay reliable rent, handle cleaning/screening, and keep the property in strong condition. If you're open to a long-term master lease with permitted subleasing/STR use, I'd love to connect. Happy to do a 3-way call with my business partner too.","Hi, this is Solomon with R&L Collective. I'm calling about 1018 Harbor Bend Cir, Memphis. I wanted to see whether you'd consider a long-term master lease with professionally managed furnished stays for traveling professionals and families. We focus on consistent rent, strong upkeep, cleaning, guest screening, and low owner hassle. If that might be a fit, I'd love to set up a quick follow-up call and can also bring my business partner onto a 3-way call."
